Name,Keyword,Snippet,Category
FM Get(WindowDesktopHeight),;fmgetwindowdesktopheight,Get ( WindowDesktopHeight ),Get
FM Get(WindowDesktopWidth),;fmgetwindowdesktopwidth,Get ( WindowDesktopWidth ),Get
FM Get(WindowHeight),;fmgetwindowheight,Get ( WindowHeight ),Get
FM Get(WindowLeft),;fmgetwindowleft,Get ( WindowLeft ),Get
FM Get(WindowMode),;fmgetwindowmode,Get ( WindowMode ),Get
FM Get(WindowName),;fmgetwindowname,Get ( WindowName ),Get
FM Get(WindowOrientation),;fmgetwindoworientation,Get ( WindowOrientation ),Get
FM Get(WindowStyle),;fmgetwindowstyle,Get ( WindowStyle ),Get
FM Get(WindowTop),;fmgetwindowtop,Get ( WindowTop ),Get
FM Get(WindowVisible),;fmgetwindowvisible,Get ( WindowVisible ),Get
FM Get(WindowWidth),;fmgetwindowwidth,Get ( WindowWidth ),Get
FM Get(WindowZoomLevel),;fmgetwindowzoomlevel,Get ( WindowZoomLevel ),Get
